원문명칭,데이터구분,탄소계수_KRW
"Radio, television and communication equipment and apparatus (32)",제품(pxp),0.0001752
Railway transportation services,제품(pxp),0.00021646
Raw milk,산업(ixi),0.00036259
Raw milk,제품(pxp),0.00036255
Re-processing of ash into clinker,산업(ixi),0.0
Re-processing of secondary aluminium into new aluminium,산업(ixi),0.0
Re-processing of secondary construction material into aggregates,산업(ixi),0.0
Re-processing of secondary copper into new copper,산업(ixi),0.0
Re-processing of secondary glass into new glass,산업(ixi),0.0
"Re-processing of secondary lead into new lead, zinc and tin",산업(ixi),0.0
Re-processing of secondary other non-ferrous metals into new other non-ferrous metals,산업(ixi),0.0
Re-processing of secondary paper into new pulp,산업(ixi),0.0
Re-processing of secondary plastic into new plastic,산업(ixi),0.0
Re-processing of secondary preciuos metals into new preciuos metals,산업(ixi),0.0
Re-processing of secondary steel into new steel,산업(ixi),0.00109606
Re-processing of secondary wood material into new wood material,산업(ixi),0.0
Real estate activities (70),산업(ixi),6.568e-05
Real estate services (70),제품(pxp),7.111e-05
"Recreational, cultural and sporting activities (92)",산업(ixi),0.00017499
"Recreational, cultural and sporting services (92)",제품(pxp),0.00017471
Recycling of bottles by direct reuse,산업(ixi),0.0
Recycling of waste and scrap,산업(ixi),0.00073051
Refinery Feedstocks,제품(pxp),0.00114
Refinery Gas,제품(pxp),0.00100656
Renting of machinery and equipment without operator and of personal and household goods (71),산업(ixi),0.00026652
Renting services of machinery and equipment without operator and of personal and household goods (71),제품(pxp),0.00027352
Research and development (73),산업(ixi),0.0001219
Research and development services (73),제품(pxp),0.0001219
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",제품(pxp),0.00023157
Retail sale of automotive fuel,산업(ixi),0.00037928
Retail trade services of motor fuel,제품(pxp),0.00037894
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",산업(ixi),0.00023061
Rubber and plastic products (25),제품(pxp),0.00054625
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",산업(ixi),0.00034958
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",제품(pxp),0.00034775
Sand and clay,제품(pxp),0.00094685
Sea and coastal water transport,산업(ixi),0.00174805
Sea and coastal water transportation services,제품(pxp),0.00174019
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",제품(pxp),0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",제품(pxp),0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",제품(pxp),0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",제품(pxp),0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",제품(pxp),0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",제품(pxp),0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",제품(pxp),0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",제품(pxp),0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",제품(pxp),0.0
Secondary raw materials,제품(pxp),0.00072851
"Secondary steel for treatment, Re-processing of secondary steel into new steel",제품(pxp),0.0
Services auxiliary to financial intermediation (67),제품(pxp),0.00011672
Sewage sludge for treatment: biogasification and land application,제품(pxp),0.0003092
Steam and hot water supply,산업(ixi),0.00741148
Steam and hot water supply services,제품(pxp),0.00737279
Stone,제품(pxp),0.00077885
Sub-Bituminous Coal,제품(pxp),0.00066449
Sugar,제품(pxp),0.00043027
"Sugar cane, sugar beet",제품(pxp),0.00033618
Sugar refining,산업(ixi),0.00042695
Supporting and auxiliary transport activities; activities of travel agencies (63),산업(ixi),0.00020845
Supporting and auxiliary transport services; travel agency services (63),제품(pxp),0.00020623
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",산업(ixi),0.00036919
Textiles (17),제품(pxp),0.00029514
Textiles waste for treatment: incineration,제품(pxp),0.00207864
Textiles waste for treatment: landfill,제품(pxp),0.00017357
Tobacco products (16),제품(pxp),0.00017924
Transmission of electricity,산업(ixi),0.00015896
Transmission services of electricity,제품(pxp),0.00016277
Transport via pipelines,산업(ixi),0.00043226
Transport via railways,산업(ixi),0.00021642
Transportation services via pipelines,제품(pxp),0.00043213
Uranium and thorium ores (12),제품(pxp),0.00067722
"Vegetables, fruit, nuts",제품(pxp),0.00023025
"Waste water treatment, food",산업(ixi),0.07722498
"Waste water treatment, other",산업(ixi),0.38764436
Wearing apparel; furs (18),제품(pxp),0.00020437
Wheat,제품(pxp),0.00036993
White Spirit & SBP,제품(pxp),0.0011229
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",제품(pxp),0.00022949
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",산업(ixi),0.00022094
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),제품(pxp),0.00048627
"Wood material for treatment, Re-processing of secondary wood material into new wood material",제품(pxp),0.0
Wood waste for treatment: incineration,제품(pxp),0.00064295
Wood waste for treatment: landfill,제품(pxp),0.00018045
"Wool, silk-worm cocoons",산업(ixi),0.00039215
"Wool, silk-worm cocoons",제품(pxp),0.0006496
products of Vegetable oils and fats,제품(pxp),0.00026136
